ply,player,role,fen_before,move,fallback
144,Stockfish-Strong,white,8/k7/2R5/p7/Pp1p1NB1/8/6QP/R4K2 w - - 2 73,g2h1,True
88,Stockfish-GM,white,2R5/b4N2/k1r1bp2/4pP1p/P1ppPP1Q/1P1P3B/3K3P/5N2 w - - 1 45,f7d8,True
79,Stockfish-Strong,black,rn2k3/1p1r2b1/PP1p1Bpp/1N1P2p1/R3Ppn1/1Q4N1/6K1/4RB2 b - - 6 40,g4f2,True
43,Stockfish-Strong,black,r3kbr1/4p1pp/n1pp1p1n/p7/B2P1P2/PP1KPb2/2P1Q2P/1RBN3R b - - 3 22,f3g2,True
60,Stockfish-Weak,white,r4b1r/4kp2/1p5p/1ppP1Pp1/1n1P1N2/P1N5/RKb2P1P/3B3R w - - 2 31,f4e2,True
147,Stockfish-Weak,black,B7/6r1/2K1Pk2/7r/pR1R1P2/p7/P7/8 b - - 4 74,g7g6,True
145,Stockfish-Strong,black,B4r2/3k4/p2np3/P1P1P3/1B5p/4K2p/3P4/5R2 b - - 0 73,d7e7,True
185,Stockfish-Mid,black,8/6Nk/3P4/3N4/2B1Q3/4K1R1/8/8 b - - 2 93,h7h8,True
145,Stockfish-Strong,black,5k2/3P3p/7P/2r1P3/n5B1/8/8/2b3K1 b - - 0 73,a4b6,True
146,stupid1,white,5k2/3P3p/1n5P/2r1P3/6B1/8/8/2b3K1 w - - 1 74,g4h5,False
171,Stockfish-Strong,black,5N2/8/R7/P1P1kp2/1P5K/8/5R2/2N3r1 b - - 2 86,g1f1,True
176,Stockfish-Weak,white,8/2NN3k/8/2pn3K/p1P3n1/8/3q4/b7 w - - 23 89,c7b5,True
56,Stockfish-Strong,white,r1b1k3/p1Pp2p1/1p1Qpr2/4np1p/3P1PPq/2n2N1P/PBN1P3/R1K2BR1 w - - 2 29,f3e1,True
70,Stockfish-Mid,white,2b3k1/3p1pr1/3q1b1p/p1p1p3/1n2P1nP/N1P1R1PN/PP2Br2/2R1B1K1 w - - 0 36,a3c2,True
129,Stockfish-Strong,black,2r2bk1/1Q6/r1PpPp2/3P3p/pp2p2P/4P1pn/6P1/1KR1NB1R b - - 12 65,h3g5,True
130,stupid1,white,2r2bk1/1Q6/r1PpPp2/3P2np/pp2p2P/4P1p1/6P1/1KR1NB1R w - - 13 66,c6c7,False
